o:id,skos:prefLabel,dcterms:isReferencedBy ^^uri,skos:notation,skos:altLabel @fr,skos:altLabel @en,skos:scopeNote @fr,skos:scopeNote @en,skos:broader ^^resource,skos:narrower ^^resource,skos:related ^^resource
1313,Educational psychology,http://vocabularies.unesco.org/thesaurus/concept1049,1.05,Psychologie de l'éducation,Educational psychology,,,1323,78|609,37|1070|1282|1314|2306|3978
1549,Feedback (learning),http://vocabularies.unesco.org/thesaurus/concept10756,1.05,Information en retour (apprentissage),Feedback (learning),,,2306,,
4028,Teacher attitudes,http://vocabularies.unesco.org/thesaurus/concept1270,1.05,Attitude de l'enseignant,Teacher attitudes,,,4030,,653|3946|4042
3946,Student attitudes,http://vocabularies.unesco.org/thesaurus/concept1272,1.05,Attitude de l'étudiant,Student attitudes,,,3947,,653|3945|3956|4028
2114,Interest (learning),http://vocabularies.unesco.org/thesaurus/concept12762,1.05,Intérêt (apprentissage),Interest (learning),,,2306,,
2987,Parent teacher relationship,http://vocabularies.unesco.org/thesaurus/concept12872,1.05,Relation parents-enseignant,Parent teacher relationship,,,2985,,4030|4042|2986|2982|2155|2983|2988
3472,Retention,http://vocabularies.unesco.org/thesaurus/concept13301,1.05,Rétention,Retention,,,2306,,
3367,Reading readiness,http://vocabularies.unesco.org/thesaurus/concept13304,1.05,Préparation à la lecture,Reading readiness,,,2307,,3360
3945,Student adjustment,http://vocabularies.unesco.org/thesaurus/concept1333,1.05,Adaptation de l'étudiant,Student adjustment,,,3608,,3946|3947|3764
3954,Student movements,http://vocabularies.unesco.org/thesaurus/concept14304,1.05,Mouvement étudiant,Student movements,,,3958,,3787|3955|4284|4485
78,Adolescent psychology,http://vocabularies.unesco.org/thesaurus/concept1460,1.05,Psychologie de l'adolescent,Adolescent psychology,,,1313,,1070|609|3282|4480
609,Child psychology,http://vocabularies.unesco.org/thesaurus/concept1462,1.05,Psychologie de l'enfant,Child psychology,De la naissance à l'adolescence.,From birth to adolescence.,1313,,1070|78|606|3822
4042,Teacher participation,http://vocabularies.unesco.org/thesaurus/concept14964,1.05,Participation de l'enseignant,Teacher participation,,,4030,,2987|4028
3956,Student participation,http://vocabularies.unesco.org/thesaurus/concept14982,1.05,Participation de l'étudiant,Student participation,,,3947,,3608|3946|3958|3955|3967|3790
85,Adult learning,http://vocabularies.unesco.org/thesaurus/concept1511,1.05,Apprentissage à l'âge adulte,Adult learning,,,2301,,1070|2306|86|87|88
2306,Learning processes,http://vocabularies.unesco.org/thesaurus/concept1514,1.05,Processus d'apprentissage,Learning processes,,,2301,322|763|1549|2114|3472,683|1070|2105|85|1313|792|2543
3606,School rewards,http://vocabularies.unesco.org/thesaurus/concept15853,1.05,Récompense scolaire,School rewards,,,3593,,3605|3608
3963,Student unrest,http://vocabularies.unesco.org/thesaurus/concept1697,1.05,Contestation estudiantine,Student unrest,,,3958,,3793|4284|4485|4489|3264|3477
40,Academic fraud,http://vocabularies.unesco.org/thesaurus/concept17071,1.05,Fraude académique,Academic fraud,,,1267,,3947|4030|1499|845
506,Bullying,http://vocabularies.unesco.org/thesaurus/concept17088,1.05,Brimade,Bullying,,,3014,,3947|4337
1235,Education,http://vocabularies.unesco.org/thesaurus/concept2,1.05,Éducation,Education,"Mise en oeuvre de moyens par lesquels l'on développe des capacités, des attitudes et autres formes de comportements valorisés par la société dans laquelle on vit. Utiliser un descripteur plus précis.","Process by which one develops abilities, attitudes and other forms of behaviour considered to have value in the society in which one lives. Use more specific descriptor.",,,2301|4063
653,Classroom environment,http://vocabularies.unesco.org/thesaurus/concept2140,1.05,Environnement de la classe,Classroom environment,,,1267,,3946|3960|4028|649|655
1248,Educational anthropology,http://vocabularies.unesco.org/thesaurus/concept2502,1.05,Anthropologie de l'éducation,Educational anthropology,Application de concepts et de méthodes anthropologiques à l'étude des institutions et des processus éducatifs.,Application of anthropological concepts and methods to the study of educational institutions and processes.,1323,,1474|1236|957
