mtCode,l1Label,l2Label,l3Label,l4Label,l5Label,l6Label,l7Label
1.05,Education,,,,,,
1.05,Educational environment,Academic fraud,,,,,
1.05,Educational environment,Classroom environment,,,,,
1.05,Educational environment,Parent school relationship,,,,,
1.05,Educational environment,Parent school relationship,Parent teacher relationship,,,,
1.05,Educational environment,Peer relationship,,,,,
1.05,Educational environment,Peer relationship,Bullying,,,,
1.05,Educational environment,School community relationship,,,,,
1.05,Educational environment,School discipline,,,,,
1.05,Educational environment,School discipline,School punishment,,,,
1.05,Educational environment,School discipline,School rewards,,,,
1.05,Educational environment,School student relationship,,,,,
1.05,Educational environment,School student relationship,Student adjustment,,,,
1.05,Educational environment,School student relationship,Truancy,,,,
1.05,Educational environment,Student behaviour,,,,,
1.05,Educational environment,Student behaviour,Student attitudes,,,,
1.05,Educational environment,Student behaviour,Student participation,,,,
1.05,Educational environment,Student teacher relationship,,,,,
1.05,Educational environment,Student teacher relationship,Educational interaction process,,,,
1.05,Educational environment,Teacher administration relationship,,,,,
1.05,Educational environment,Teacher behaviour,,,,,
1.05,Educational environment,Teacher behaviour,Teacher attitudes,,,,
1.05,Educational environment,Teacher behaviour,Teacher authority,,,,
1.05,Educational environment,Teacher behaviour,Teacher participation,,,,
1.05,Educational sciences,Educational anthropology,,,,,
1.05,Educational sciences,Educational history,,,,,
1.05,Educational sciences,Educational philosophy,,,,,
1.05,Educational sciences,Educational psychology,,,,,
1.05,Educational sciences,Educational psychology,Adolescent psychology,,,,
1.05,Educational sciences,Educational psychology,Child psychology,,,,
1.05,Educational sciences,Educational psychosociology,,,,,
1.05,Educational sciences,Educational research,,,,,
1.05,Educational sciences,Educational research,Comparative education,,,,
1.05,Educational sciences,Educational research,Curriculum research,,,,
1.05,Educational sciences,Educational research,Reading research,,,,
1.05,Educational sciences,Educational sociology,,,,,
1.05,Educational sciences,Educational sociology,Student sociology,,,,
1.05,Educational sciences,Educational sociology,Student sociology,Student movements,,,
1.05,Educational sciences,Educational sociology,Student sociology,Student unrest,,,
1.05,Educational sciences,Educational theory,,,,,
1.05,Educational sciences,Educational theory,Educational models,,,,
1.05,Learning,Adult learning,,,,,
1.05,Learning,Learning disabilities,,,,,
1.05,Learning,Learning disabilities,Dyslexia,,,,
1.05,Learning,Learning processes,,,,,
1.05,Learning,Learning processes,Attention,,,,
1.05,Learning,Learning processes,Comprehension,,,,
1.05,Learning,Learning processes,Feedback (learning),,,,
1.05,Learning,Learning processes,Interest (learning),,,,
1.05,Learning,Learning processes,Retention,,,,
1.05,Learning,Learning readiness,,,,,
1.05,Learning,Learning readiness,Reading readiness,,,,
1.10,Educational development,Curriculum development,,,,,
1.10,Educational development,Diversification of education,,,,,
1.10,Educational development,Educational innovations,,,,,
1.10,Educational development,Educational innovations,Educational experiments,,,,
1.10,Educational development,Educational innovations,Teaching method innovations,,,,
1.10,Educational development,Educational reform,,,,,
1.10,Educational development,Educational trends,,,,,
1.10,Educational development,Educational trends,Enrolment trends,,,,
1.10,Educational policy,Adult literacy,,,,,
1.10,Educational policy,Adult literacy,Illiteracy,,,,
1.10,Educational policy,Adult literacy,Illiteracy,Functional illiteracy,,,
1.10,Educational policy,Alternative education,,,,,
1.10,Educational policy,Church and education,,,,,
1.10,Educational policy,Computer uses in education,,,,,
1.10,Educational policy,Education and culture,,,,,
1.10,Educational policy,Education and culture,Intercultural education,,,,
1.10,Educational policy,Educational discrimination,,,,,
1.10,Educational policy,Educational discrimination,School integration,,,,
1.10,Educational policy,Educational indicators,,,,,
1.10,Educational policy,Educational objectives,,,,,
1.10,Educational policy,Educational strategies,,,,,
1.10,Educational policy,Industry and education,,,,,
1.10,Educational policy,International education,,,,,
1.10,Educational policy,Language of instruction,,,,,
1.10,Educational policy,Language of instruction,Bilingual education,,,,
1.10,Educational policy,Leisure and education,,,,,
1.10,Educational policy,State and education,,,,,
1.10,Educational policy,Study abroad,,,,,
1.10,Right to education,Democratization of education,,,,,
1.10,Right to education,Educational opportunities,,,,,
1.10,Right to education,Educational opportunities,Access to education,,,,
1.10,Right to education,Educational opportunities,Educational priority areas,,,,
1.10,Right to education,Educational opportunities,School closure,,,,
1.10,Right to education,Educational opportunities,Universal education,,,,
1.10,Right to education,Educational opportunities,Universal education,Compulsory education,,,
