mtCode,conceptId,english,french,synonymsEnglish,synonymsFrench,noteEnglish,noteFrench,broaders,narrowers,relateds
1.05,concept1049,Educational psychology,Psychologie de l'éducation,Psychopedagogy,Psychopédagogie,,,concept4,"concept1460, concept1462","concept87, concept388, concept30, concept9188, concept1514, concept9361"
1.05,concept10756,Feedback (learning),Information en retour (apprentissage),,Rétro-information,,,concept1514,,
1.05,concept1270,Teacher attitudes,Attitude de l'enseignant,,,,,concept5949,,"concept2140, concept1272, concept14964"
1.05,concept1272,Student attitudes,Attitude de l'étudiant,,,,,concept5947,,"concept2140, concept1333, concept14982, concept1270"
1.05,concept12762,Interest (learning),Intérêt (apprentissage),Curiosity,Curiosité,,,concept1514,,
1.05,concept12872,Parent teacher relationship,Relation parents-enseignant,,,,,concept9184,,"concept5949, concept14964, concept9157, concept1476, concept9610, concept10707, concept1528"
1.05,concept13301,Retention,Rétention,,,,,concept1514,,
1.05,concept13304,Reading readiness,Préparation à la lecture,,,,,concept2614,,concept997
1.05,concept1333,Student adjustment,Adaptation de l'étudiant,School adjustment,Adaptation scolaire,,,concept9186,,"concept1272, concept5947, concept1335"
1.05,concept14304,Student movements,Mouvement étudiant,,Mouvement estudiantin,,,concept9395,,"concept399, concept9158, concept1524, concept14301"
1.05,concept1460,Adolescent psychology,Psychologie de l'adolescent,,,,,concept1049,,"concept388, concept1462, concept1458, concept1457"
1.05,concept1462,Child psychology,Psychologie de l'enfant,,,From birth to adolescence.,De la naissance à l'adolescence.,concept1049,,"concept388, concept1460, concept5055, concept1199"
1.05,concept14964,Teacher participation,Participation de l'enseignant,,,,,concept5949,,"concept12872, concept1270"
1.05,concept14982,Student participation,Participation de l'étudiant,,,,,concept5947,,"concept9186, concept1272, concept9395, concept9158, concept11831, concept5339"
1.05,concept1511,Adult learning,Apprentissage à l'âge adulte,,Apprentissage des adultes,,,concept5,,"concept388, concept1514, concept1480, concept1481, concept1513"
1.05,concept1514,Learning processes,Processus d'apprentissage,,,,,concept5,"concept3253, concept5989, concept10756, concept12762, concept13301","concept387, concept388, concept389, concept1511, concept1049, concept5553, concept5556"
1.05,concept15853,School rewards,Récompense scolaire,,,,,concept8159,,"concept4735, concept9186"
1.05,concept1697,Student unrest,Contestation estudiantine,,"Agitation étudiante, Agitation universitaire, Contestation étudiante, Contestation universitaire, Malaise étudiant",,,concept9395,,"concept409, concept1524, concept14301, concept11365, concept12765, concept14308"
1.05,concept17071,Academic fraud,Fraude académique,"Academic misconduct, Accreditation fraud, Certification fraud, Examination fraud, False credentials, Forged diplomas, Student cheating",,,,concept3,,"concept5947, concept5949, concept10537, concept6676"
1.05,concept17088,Bullying,Brimade,"Peer abuse, Peer harassment, School bullying",Brimade à l'école,,,concept9185,,"concept5947, concept14592"
1.05,concept2,Education,Éducation,,,"Process by which one develops abilities, attitudes and other forms of behaviour considered to have value in the society in which one lives. Use more specific descriptor.","Mise en oeuvre de moyens par lesquels l'on développe des capacités, des attitudes et autres formes de comportements valorisés par la société dans laquelle on vit. Utiliser un descripteur plus précis.",,,"concept5, concept25"
1.05,concept2140,Classroom environment,Environnement de la classe,,,,,concept3,,"concept1272, concept5410, concept1270, concept5378, concept3364"
1.05,concept2502,Educational anthropology,Anthropologie de l'éducation,,,Application of anthropological concepts and methods to the study of educational institutions and processes.,Application de concepts et de méthodes anthropologiques à l'étude des institutions et des processus éducatifs.,concept4,,"concept376, concept7078, concept7142"
1.05,concept2614,Learning readiness,Aptitude à l'apprentissage,,,,,concept5,concept13304,
1.05,concept3,Educational environment,Milieu éducatif,Learning environment,"Contexte d'apprentissage, Milieu d'apprentissage",,,,"concept17071, concept2140, concept9184, concept9185, concept5862, concept8159, concept9186, concept5947, concept5410, concept9148, concept5949","concept397, concept9188"
1.05,concept3253,Attention,Attention,,,,,concept1514,,
1.05,concept3435,Teacher authority,Autorité de l'enseignant,,,,,concept5949,,"concept8159, concept5410"
1.05,concept4,Educational sciences,Sciences de l'éducation,Pedagogy,Pédagogie,,,,"concept2502, concept9250, concept9316, concept1049, concept9188, concept9197, concept5181, concept9317",
1.05,concept4735,School punishment,Punition scolaire,"Corporal punishment, Expulsion (school)","Châtiment corporel, Expulsion scolaire, Punition corporelle, Sanction scolaire",,,concept8159,,"concept15853, concept9186"
1.05,concept5,Learning,Apprentissage,,,,,,"concept1511, concept8024, concept1514, concept2614","concept387, concept388, concept2, concept5556"
1.05,concept5181,Educational sociology,Sociologie de l'éducation,Society and education,Société et éducation,,,concept4,concept9395,"concept33, concept9188, concept5178, concept8863"
1.05,concept5410,Student teacher relationship,Relation étudiant-enseignant,Teacher student relationship,Relation enseignant-étudiant,,,concept3,concept9276,"concept2140, concept8159, concept9186, concept5947, concept3435, concept5949, concept9610"
1.05,concept5862,School community relationship,Relation école-collectivité,,,,,concept3,,"concept9188, concept11644, concept5714"
1.05,concept5900,Comparative education,Éducation comparée,,,Comparative study of current educational theory and practice in different countries.,Etude comparée des théories et pratiques éducatives courantes dans différents pays.,concept9197,,"concept37, concept3898"
1.05,concept5947,Student behaviour,Comportement de l'élève,,Comportement de l'étudiant,,,concept3,"concept1272, concept14982","concept17071, concept17088, concept9276, concept9188, concept9186, concept1333, concept5410, concept8664, concept1050"
1.05,concept5949,Teacher behaviour,Comportement de l'enseignant,,,,,concept3,"concept1270, concept3435, concept14964","concept17071, concept9276, concept9188, concept12872, concept5410"
1.05,concept5989,Comprehension,Compréhension,,,,,concept1514,,concept389
1.05,concept7280,Curriculum research,Recherche sur le curriculum,,,,,concept9197,,"concept7273, concept7285, concept4886"
1.05,concept8024,Learning disabilities,Trouble d'apprentissage,Learning difficulties,"Difficulté d'apprentissage, Problème d'apprentissage",,,concept5,concept8211,"concept17020, concept2122, concept7551"
1.05,concept8159,School discipline,Discipline scolaire,School authority,Autorité scolaire,,,concept3,"concept4735, concept15853","concept9188, concept9186, concept5410, concept3435"
1.05,concept8211,Dyslexia,Dyslexie,,,,,concept8024,,"concept997, concept4141"
1.05,concept8664,Truancy,École buissonnière,,Absentéisme scolaire,,,concept9186,,"concept5947, concept1114"
1.05,concept9148,Teacher administration relationship,Relation enseignant-administration,,,,,concept3,,"concept6186, concept1371, concept9610"
1.05,concept9184,Parent school relationship,Relation parents-école,,,,,concept3,concept12872,"concept9188, concept1476, concept9610, concept10707, concept10717, concept1528"
1.05,concept9185,Peer relationship,Relations entre pairs,,,,,concept3,concept17088,"concept9188, concept9906, concept9610"
1.05,concept9186,School student relationship,Relation étudiant-école,,,,,concept3,"concept1333, concept8664","concept8159, concept4735, concept15853, concept5947, concept14982, concept5410"
1.05,concept9188,Educational psychosociology,Psychosociologie de l'éducation,,,,,concept4,,"concept3, concept377, concept1049, concept5181, concept9184, concept9185, concept5862, concept8159, concept5947, concept5949"
1.05,concept9197,Educational research,Recherche pédagogique,Pedagogical research,Recherche en éducation,,,concept4,"concept5900, concept7280, concept9386","concept88, concept9307, concept2112, concept9255"
1.05,concept9250,Educational history,Histoire de l'éducation,,,,,concept4,,
1.05,concept9276,Educational interaction process,Processus d'interaction éducative,Interaction process analysis,Analyse du processus d'interaction,Observation of student behaviour in response to various teaching attitudes.,Observation du comportement des étudiants en réponse à différentes stratégies d'enseignement.,concept5410,,"concept5947, concept5949"
1.05,concept9307,Educational models,Modèle d'éducation,,,Representation of an educational concept or system in a two or three-dimensional diagram or a mathematical or other analogous form.,Représentation d'un concept ou d'un système éducatif au moyen d'un diagramme à deux ou trois dimensions ou encore d'une formule mathématique ou autre méthode analogue.,concept9317,,"concept9197, concept7121"
1.05,concept9316,Educational philosophy,Philosophie de l'éducation,,Philosophie éducative,,,concept4,,"concept9317, concept9311"
1.05,concept9317,Educational theory,Théorie de l'éducation,Principles of education,Principe de l'éducation,,,concept4,concept9307,"concept9316, concept9311"
1.05,concept9386,Reading research,Recherche sur la lecture,,,,,concept9197,,
1.05,concept9395,Student sociology,Sociologie de l'étudiant,Student life,"Vie de l'étudiant, Vie étudiante, Vie scolaire",,,concept5181,"concept14304, concept1697","concept33, concept14982, concept9403, concept9158, concept2082"
1.10,concept10,Right to education,Droit à l'éducation,,,,,,"concept7597, concept4938","concept556, concept9, concept557, concept1519, concept5052"
1.10,concept1124,Access to education,Accès à l'éducation,,,"Conditions, circumstances or requirements governing admittance to educational institutions or programmes.",Circonstances ou conditions d'admission à une institution ou à un programme d'éducation.,concept4938,,"concept1137, concept1138, concept1139, concept1140"
1.10,concept11264,Functional illiteracy,Illettrisme,,,,,concept1516,,"concept1518, concept2194"
1.10,concept1137,Educational discrimination,Discrimination éducative,,,,,concept9,concept7790,"concept1124, concept4938, concept1140, concept8980, concept1494, concept5916"
1.10,concept1138,Educational priority areas,Zone de priorité éducative,,Zone d'éducation prioritaire,"Regions, localities, etc., in need of special educational action.","Région, localité, etc., où se manifeste le besoin d'une intervention éducative spéciale.",concept4938,,"concept21, concept1124, concept4708, concept7501, concept8121, concept5916"
1.10,concept1139,Free education,Enseignement gratuit,,"Éducation non payante, Éducation sans frais de scolarité, Éducation sans frais d'inscription",Non fee-paying education.,Éducation non payante,concept1140,,"concept1124, concept5999, concept7703, concept9414"
1.10,concept1140,Universal education,Éducation universelle,"Education for all, Equal education, Equal opportunity in education","Éducation pour tous, Égalité des chances en éducation",System of education extending opportunities to all.,Système d'éducation rendant l'enseignement accessible à tous.,concept4938,"concept5999, concept1139","concept1124, concept7597, concept1137, concept17016, concept5916"
1.10,concept1480,Adult literacy,Alphabétisation des adultes,,,,,concept9,concept1516,"concept1511, concept1473, concept1494, concept1518, concept1519, concept1481, concept1520"
1.10,concept1487,Leisure and education,Loisir et éducation,Leisure education,Formation aux loisirs,Organized activities intended to help individuals or groups use non-work time in a manner conducive to physical and mental well-being.,Activité organisée dans l'intention d'aider des individus ou des groupes à utiliser leur temps libre de manière à favoriser leur bien-être physique et mental.,concept9,,"concept367, concept1473, concept6972, concept7666"
1.10,concept1516,Illiteracy,Analphabétisme,,,"Relates to the problem. Provision for resolving it should be handled by the ""literacy"" descriptors.","Se rapporte au problème même de l'analphabétisme. Pour désigner les dispositions prises pour le résoudre, utiliser les descripteurs associés au terme ""alphabétisation"".",concept1480,concept11264,"concept1518, concept1519, concept2194"
1.10,concept17112,School closure,Fermeture d'écoles,"Closed schools, Educational disruption",,"Refers to both permanent or temporary school closures. The latter can be due to crisis situations such as natural disaster, armed conflict or epidemics.","Fait référence à la fermeture permanente ou temporaire d'une école. Cette dernière peut être due à des situations de crise telles qu'une catastrophe naturelle, un conflit armé ou une épidémie.",concept4938,,concept1114
1.10,concept2107,Alternative education,Éducation alternative,"Anticurriculum movement, Deschooling, Educational alternatives","Déscolarisation, Éducation nouvelle, Enseignement alternatif, Mouvement éducatif alternatif",General term for schemes which offer an alternative to traditional institutional education or for movements which reject the notion of formal schooling.,"Terme générique qui désigne les diverses formules offrant une solution alternative à l'éducation institutionnelle traditionnelle, ainsi que les mouvements qui rejettent la notion d'éducation formelle.",concept9,,"concept49, concept37, concept2112"
1.10,concept2112,Educational experiments,Expérimentation pédagogique,Experimental education,Pédagogie expérimentale,,,concept7281,,"concept9197, concept2107"
1.10,concept3894,Bilingual education,Enseignement bilingue,,,Encouragement of bilingualism through the teaching of regular courses in both the national language and a second language.,Incitation au bilinguisme en dispensant des cours réguliers à la fois dans la langue nationale et dans une langue seconde.,concept9343,,"concept3898, concept3608, concept3932, concept3892"
1.10,concept3898,Intercultural education,Éducation interculturelle,"Bicultural education, Crosscultural education, Multicultural education","Éducation biculturelle, Éducation multiculturelle, Éducation transculturelle",,,concept7078,,"concept54, concept419, concept5900, concept3894, concept7859, concept3892, concept7021, concept3899, concept3897"
1.10,concept4938,Educational opportunities,Chances d'éducation,,,Availability of educational provision.,Disponibilité de ressources éducatives.,concept10,"concept1124, concept1138, concept1140, concept17112","concept7597, concept1137, concept17013, concept3617, concept5916, concept5312"
1.10,concept5178,Church and education,Relation Église-éducation,,,,,concept9,,"concept5181, concept5180, concept5172"
1.10,concept5999,Compulsory education,Scolarité obligatoire,,,,,concept1140,,"concept22, concept1139, concept1114"
1.10,concept6020,Computer uses in education,Informatique éducative,Educational computing,,"The use of computers for instruction, testing, student/pupil personnel services, school administrative support services, etc. Use more specific descriptor where appropriate.","Utilisation des ordinateurs pour la formation, les tests, les services aux étudiants, élèves et personnel, les services de soutien à l'administration de l'éducation, etc. Utiliser un descripteur plus précis quand c'est pertinent.",concept9,,"concept520, concept97, concept6023, concept6028, concept6012"
1.10,concept7078,Education and culture,Éducation et culture,,,Taking into consideration of cultural factors in the educational process.,Prise en compte des facteurs culturels dans le processus éducatif.,concept9,concept3898,"concept260, concept2502, concept7142"
1.10,concept7273,Curriculum development,Développement du curriculum,"Curriculum design, Curriculum improvement, Curriculum innovation, Curriculum planning, Curriculum reform, Curriculum reorganization","Construction d'un curriculum, Élaboration des programmes d'enseignement, Enrichissement du curriculum, Réforme du curriculum","Systematic process of producing new curricula or improving existing ones. Involves setting out aims, content, methods, evaluation procedures.","Processus systématique de production de nouveaux programmes éducatifs ou de révision des programmes existants. Implique l'élaboration d'objectifs, de contenus, de méthodes, de procédures d'évaluation.",concept8,,"concept7280, concept7281, concept7282"
1.10,concept7281,Educational innovations,Innovation éducative,,Innovation en éducation,"Changes in objectives, content or methods initiated, as a rule, in experimental situations.","Changement d'objectifs, de contenus ou de méthodes, initié, en règle générale, en situation expérimentale.",concept8,"concept2112, concept9267","concept14, concept7273, concept7282, concept9176"
1.10,concept7282,Educational reform,Réforme de l'éducation,"Educational change, Educational renewal","Changement en éducation, Renouveau de l'éducation, Renouveau éducatif",Change planned or in process of implementation to a major part of a national system of education.,Changement planifié ou en cours d'application d'une partie importante d'un système national d'éducation.,concept8,,"concept14, concept9, concept7273, concept7597, concept8260, concept7281"
1.10,concept7597,Democratization of education,Démocratisation de l'éducation,,,Policy of ensuring equality of educational opportunity in order to achieve universal education.,Politique visant à assurer l'égalité des chances en éducation afin de réaliser l'objectif de l'éducation pour tous.,concept10,,"concept9, concept4938, concept7282, concept1140, concept7592"
1.10,concept7790,School integration,Intégration scolaire,"Educational integration, School desegregation, School segregation","Déségrégation scolaire, Intégration éducative, Ségrégation scolaire","Refers to ethnic groups, covers also negative aspect of segregation.","Se réfère à des groupes ethniques, s'applique aussi aux aspects négatifs de la ségrégation.",concept1137,,"concept29, concept22, concept31, concept7789, concept2534"
1.10,concept7859,International education,Éducation à vocation internationale,"International cooperation education, International understanding education, Values education","Éducation à la compréhension internationale, Éducation à la coopération internationale, Éducation aux valeurs","Education aimed at international understanding, cooperation, peace, human rights and fundamental freedoms. Do not confuse with education in international schools.","Éducation visant la compréhension internationale, la paix, les droits de l'homme et les libertés fondamentales. Ne pas confondre avec l'éducation des écoles internationales.",concept9,,"concept3898, concept8646, concept7857, concept5289, concept5290, concept7233"
1.10,concept8,Educational development,Développement de l'éducation,Advancement of education,Avancement de l'éducation,Developmental change of one or more characteristics of the educational system variables in a positive direction in terms of some valued criterion. Use more specific descriptor where appropriate.,"Evolution positive d'une ou de plusieurs caractéristiques variables propres au système éducatif, déterminée en fonction de certains critères d'appréciation. Utiliser un descripteur plus précis quand c'est pertinent.",,"concept7273, concept8260, concept7281, concept7282, concept9176","concept14, concept9"
1.10,concept8260,Diversification of education,Diversification de l'éducation,,,,,concept8,,"concept14, concept7282"
1.10,concept9,Educational policy,Politique éducative,,Politique de l'éducation,Official statements of goals to which the system of education is directed.,Enoncé officiel des objectifs devant régir un système d'éducation.,,"concept1480, concept2107, concept5178, concept6020, concept7078, concept1137, concept9255, concept9311, concept9341, concept9042, concept7859, concept9343, concept1487, concept9344, concept9345","concept8, concept10, concept7597, concept7282, concept6578, concept1800"
1.10,concept9042,Industry and education,Industrie et éducation,School industry relationship,"Relation école-industrie, Relation enseignement-industrie",,,concept9,,"concept8863, concept9900"
1.10,concept9176,Educational trends,Tendance de l'éducation,,,"Changes in educational movement, either past or future, which occur in response to social, economic or environmental trends.","Changement dans le mouvement éducatif, passé ou futur, qui se manifeste en réponse à un besoin social, économique ou environnemental.",concept8,concept9440,"concept7281, concept9217"
1.10,concept9255,Educational indicators,Indicateur de l'éducation,,,Numerical data used as benchmarks in the formulation and monitoring of educational policy.,Données numériques utilisées dans la formulation et le suivi des politiques éducatives.,concept9,,"concept17, concept9197, concept3617"
1.10,concept9267,Teaching method innovations,Innovation pédagogique,,,,,concept7281,,concept83
1.10,concept9311,Educational objectives,Objectif de l'éducation,"Educational aims, Educational goals, Role of education","But éducatif, Objectif éducatif",Intended or expected results of the educational process.,Résultat visé ou attendu du processus éducatif.,concept9,,"concept14, concept9316, concept9317, concept3617"
1.10,concept9341,Educational strategies,Stratégie de l'éducation,,,"Conversion of policy goals into operational terms, including some indication of alternative paths to reach these goals.","Transformation d'une politique théorique d'objectifs éducatifs en termes opérationnels, comprenant des indications de solutions alternatives pour réaliser ces objectifs.",concept9,,concept14
1.10,concept9343,Language of instruction,Langue d'enseignement,,,,,concept9,concept3894,"concept307, concept3608"
1.10,concept9344,State and education,État et éducation,,,,,concept9,,"concept9136, concept5185"
1.10,concept9345,Study abroad,Études à l'étranger,"Cross-border education, Training abroad, Transnational education","Éducation transnationale, Enseignement transfrontalier, Formation à l'étranger",,,concept9,,"concept81, concept83, concept7050, concept8646, concept9403, concept9842, concept2073, concept10321, concept13294"
1.10,concept9440,Enrolment trends,Évolution des effectifs,,,,,concept9176,,"concept9219, concept9402"
1.15,concept1114,Educational attendance,Fréquentation scolaire,"Attendance rate, School attendance","Assiduité scolaire, Présence aux cours, Taux de fréquentation scolaire",,,concept17,,"concept27, concept31, concept90, concept8664, concept5999, concept8517, concept1453, concept9161, concept1110, concept1111, concept1112, concept17112"
1.15,concept13,Economics of education,Économie de l'éducation,,,Techniques of economics applied to educational systems.,Techniques de l'économie appliquées au système éducatif.,,"concept7878, concept8863, concept7587, concept6707, concept8864, concept3617, concept8865","concept585, concept17"
1.15,concept13482,Postliteracy programmes,Programme de postalphabétisation,,,,,concept9352,,"concept1519, concept1520"
1.15,concept14,Educational planning,Planification de l'éducation,Educational plans,Plan éducatif,,,,,"concept21, concept8, concept8260, concept7281, concept9311, concept7282, concept9341, concept7878, concept3045"
1.15,concept1453,Enrolment,Effectifs,Educational registration,Inscription scolaire,The total number of individuals registered as participants in a programme or activity.,Nombre total d'individus inscrits comme participants à un programme ou à une activité.,concept17,concept7660,"concept1114, concept9161, concept1089"
1.15,concept15,Educational programmes,Programme d'éducation,,,"Series of planned activities, with administrative connotation, relating to development of institutions. Do not confuse with ""instructional programmes"".","Série d'activités planifiées, d'un point de vue administratif, en rapport avec le développement d'une institution. Ne pas confondre avec ""programme d'enseignement"".",,"concept1503, concept7050, concept7269, concept9352, concept9353","concept16, concept3161"
1.15,concept1503,Adult education programmes,Programme d'éducation des adultes,,,"Programmes designed to provide learning opportunities for both adults who have not had adequate formal education, as well as others interested in lifelong learning.","Programme conçu pour fournir aux adultes qui n'ont pas reçu une éducation formelle adéquate, tout comme à ceux qui s'intéressent à l'éducation permanente, des possibilités de formation.",concept15,,
